Model,Validation Accuracy,Validation Macro F1,Test Accuracy,Test Macro F1
TF-IDF + Logistic Regression,0.2468847352024922,0.24871351596442506,0.2541436464088398,0.25165198022585433
TF-IDF + Linear SVM,0.2531152647975078,0.2531955308250816,0.23835832675611682,0.23251070674194244
